set,type,n,ACC_Original,ACC_LPF,ACC_HPF+DC,ACC_Masked,CSS_Original,CSS_LPF,CSS_HPF+DC,CSS_Masked,ROUGE_L_Original,ROUGE_L_LPF,ROUGE_L_HPF+DC,ROUGE_L_Masked
deepfake_fake,cate_label,932,0.9935622317596566,0.9967811158798283,1.0,0.9785407725321889,0.8234660775168867,0.8129417575224275,0.747035837192648,0.8340085162241572,0.30803082591632563,0.29543631632467693,0.24853363696346914,0.3137609318890254
deepfake_real,cate_label,236,0.8008474576271186,0.025423728813559324,0.0,0.2838983050847458,0.8795995780472028,0.6931249275487863,0.6207572781180931,0.773465614702742,0.5506522333417894,0.18871157750282172,0.1961854342425674,0.31726716080730105
human_fake,cate_label,282,1.0,0.9645390070921985,1.0,0.9893617021276596,0.6647386942983519,0.6285766973985848,0.6164709173195752,0.6701100708533686,0.2540080552902546,0.23130139393240798,0.22226695713339825,0.2645753995529682
human_real,cate_label,121,0.9917355371900827,0.15702479338842976,0.19834710743801653,0.9917355371900827,0.8809606551138822,0.654540653563728,0.6688913823651873,0.8786612877175828,0.7438543849959891,0.3190286305827632,0.3407002772754862,0.7398899981886112
animal_fake,cate_label,370,0.981081081081081,0.9837837837837838,1.0,0.9459459459459459,0.867267898918205,0.8465322573744768,0.7158422975222001,0.8521434687077999,0.3833581932488162,0.37597276100492166,0.3219490487150306,0.37211301293199206
animal_real,cate_label,379,1.0,0.055408970976253295,0.23482849604221637,1.0,0.9275588379057228,0.7351398329228399,0.7243663601007184,0.9078363154997612,0.731740949905959,0.3156281077707013,0.35331134375882034,0.7165561778906903
object_fake,cate_label,479,0.9874739039665971,0.9519832985386222,0.9958246346555324,0.9686847599164927,0.7839183606409579,0.7465065677877757,0.7018420891000234,0.7616667521646974,0.3344039898501405,0.31383000643506925,0.3100519222940174,0.32186402075682136
object_real,cate_label,388,0.9974226804123711,0.12628865979381443,0.38144329896907214,0.9871134020618557,0.828060594185726,0.6591278849956915,0.671354948245373,0.8042285188110834,0.45510902833683226,0.29170632242069355,0.3321206423693575,0.45039291892019295
scene_fake,cate_label,226,0.9823008849557522,0.9557522123893806,1.0,0.9646017699115044,0.7259362608985563,0.6913206148727805,0.6717637849856267,0.7056206007183126,0.287426636584421,0.2680688712899928,0.25396310417396695,0.27600828714830694
scene_real,cate_label,136,1.0,0.19117647058823528,0.36764705882352944,1.0,0.8097767711562269,0.6385601373279796,0.6725036173182375,0.7922505124965135,0.4572384337657621,0.2629720926140768,0.31987698125023617,0.4683030621809727
satellite_fake,cate_label,443,1.0,1.0,0.9977426636568849,1.0,0.8908496519243744,0.8790392053584751,0.8683837695934433,0.8904863672654731,0.4615002403337513,0.45857052802371573,0.4483501531234668,0.4608720762760808
satellite_real,cate_label,432,1.0,0.0,0.08796296296296297,0.9791666666666666,0.9500206108722422,0.830594120754136,0.8349784340157553,0.9475132799534886,0.7222754322646636,0.3086951138263957,0.32735520194851386,0.7155634400473782
doc_fake,cate_label,460,1.0,0.25869565217391305,0.9956521739130435,0.9934782608695653,0.9774629370025967,0.780656440037748,0.9767236538555311,0.9764047364825788,0.8873447431120172,0.4489714844025547,0.886334417118385,0.884562832730895
doc_real,cate_label,116,0.9913793103448276,0.8793103448275862,0.9655172413793104,0.9913793103448276,0.9359558250369697,0.804423158281836,0.9295309026693476,0.9338703520339111,0.6811012447800264,0.45872095591941253,0.6786081417217221,0.6814889354775403
deepfake_all,cate,1168,0.9546232876712328,0.800513698630137,0.797945205479452,0.8381849315068494,0.8348081204322588,0.788732192562,0.7215206488864879,0.8217755326975699,0.35705364453996385,0.2738720711517678,0.23795643161917734,0.31446938225264953
human_all,cate,403,0.9975186104218362,0.7220843672456576,0.7593052109181141,0.9900744416873449,0.7296589356350248,0.6363723269171514,0.6322100643928235,0.7327271855942369,0.40108350415971833,0.2576413334725891,0.2578263410966554,0.40728772321280143
animal_all,cate,749,0.9906542056074766,0.514018691588785,0.6128170894526035,0.9732977303070761,0.8977755970173629,0.7901667982727807,0.7201555414704758,0.8803244953221568,0.5596426589004277,0.34543788306664464,0.33781862124052636,0.5464040136253788
object_all,cate,867,0.9919261822376009,0.5824682814302191,0.720876585928489,0.9769319492502884,0.8036729011431147,0.7074028435394151,0.688198478198519,0.780714001828824,0.38842193094914435,0.30392921128215367,0.3199281199747924,0.3793832969821826
scene_all,cate,362,0.988950276243094,0.6685082872928176,0.7624309392265194,0.9779005524861878,0.7574343531500569,0.6714989989995956,0.6720417330442872,0.7381666449222776,0.35122333386801874,0.26615405941174813,0.27872632871090786,0.34825162804455706
satellite_all,cate,875,1.0,0.5062857142857143,0.5485714285714286,0.9897142857142858,0.9200631996563503,0.8551211750166757,0.851891078199659,0.9186413687297276,0.5902486779499274,0.3845748949571532,0.3886132172290901,0.5866168410180241
doc_all,cate,576,0.9982638888888888,0.3836805555555556,0.9895833333333334,0.9930555555555556,0.9691038658428524,0.7854427930174602,0.9672195581305358,0.9678387840588888,0.8458095941423801,0.45093491963858856,0.8445006533232237,0.8436660062007055
